EventTime,EventType,Event
,AGENT_TYPE,ExchangeAgent
2020-01-13 00:00:00.000056029,WHEN_MKT_OPEN,914
2020-01-13 00:00:00.000056029,WHEN_MKT_CLOSE,914
2020-01-13 00:00:00.000056069,WHEN_MKT_OPEN,3958
2020-01-13 00:00:00.000056069,WHEN_MKT_CLOSE,3958
2020-01-13 00:00:00.000058862,WHEN_MKT_OPEN,1905
2020-01-13 00:00:00.000058862,WHEN_MKT_CLOSE,1905
2020-01-13 00:00:00.000058879,WHEN_MKT_OPEN,1134
2020-01-13 00:00:00.000058879,WHEN_MKT_CLOSE,1134
2020-01-13 00:00:00.000062148,WHEN_MKT_OPEN,3146
2020-01-13 00:00:00.000062148,WHEN_MKT_CLOSE,3146
2020-01-13 00:00:00.000062520,WHEN_MKT_OPEN,227
2020-01-13 00:00:00.000062520,WHEN_MKT_CLOSE,227
2020-01-13 00:00:00.000065158,WHEN_MKT_OPEN,3434
2020-01-13 00:00:00.000065158,WHEN_MKT_CLOSE,3434
2020-01-13 00:00:00.000065554,WHEN_MKT_OPEN,3529
2020-01-13 00:00:00.000065554,WHEN_MKT_CLOSE,3529
2020-01-13 00:00:00.000066654,WHEN_MKT_OPEN,410
2020-01-13 00:00:00.000066654,WHEN_MKT_CLOSE,410
2020-01-13 00:00:00.000066765,WHEN_MKT_OPEN,2659
2020-01-13 00:00:00.000066765,WHEN_MKT_CLOSE,2659
2020-01-13 00:00:00.000067943,WHEN_MKT_OPEN,188
2020-01-13 00:00:00.000067943,WHEN_MKT_CLOSE,188
2020-01-13 00:00:00.000068870,WHEN_MKT_OPEN,3226
2020-01-13 00:00:00.000068870,WHEN_MKT_CLOSE,3226
2020-01-13 00:00:00.000069635,WHEN_MKT_OPEN,1590
2020-01-13 00:00:00.000069635,WHEN_MKT_CLOSE,1590
2020-01-13 00:00:00.000080127,WHEN_MKT_OPEN,348
2020-01-13 00:00:00.000080127,WHEN_MKT_CLOSE,348
2020-01-13 00:00:00.000081425,WHEN_MKT_OPEN,3053
2020-01-13 00:00:00.000081425,WHEN_MKT_CLOSE,3053
2020-01-13 00:00:00.000087277,WHEN_MKT_OPEN,476
2020-01-13 00:00:00.000087277,WHEN_MKT_CLOSE,476
2020-01-13 00:00:00.000087338,WHEN_MKT_OPEN,1934
2020-01-13 00:00:00.000087338,WHEN_MKT_CLOSE,1934
2020-01-13 00:00:00.000092210,WHEN_MKT_OPEN,1079
2020-01-13 00:00:00.000092210,WHEN_MKT_CLOSE,1079
2020-01-13 00:00:00.000093270,WHEN_MKT_OPEN,5098
2020-01-13 00:00:00.000093270,WHEN_MKT_CLOSE,5098
2020-01-13 00:00:00.000102641,WHEN_MKT_OPEN,2627
2020-01-13 00:00:00.000102641,WHEN_MKT_CLOSE,2627
2020-01-13 00:00:00.000104054,WHEN_MKT_OPEN,1893
2020-01-13 00:00:00.000104054,WHEN_MKT_CLOSE,1893
2020-01-13 00:00:00.000106125,WHEN_MKT_OPEN,3241
2020-01-13 00:00:00.000106125,WHEN_MKT_CLOSE,3241
2020-01-13 00:00:00.000111028,WHEN_MKT_OPEN,3523
2020-01-13 00:00:00.000111028,WHEN_MKT_CLOSE,3523
2020-01-13 00:00:00.000112836,WHEN_MKT_OPEN,3112
2020-01-13 00:00:00.000112836,WHEN_MKT_CLOSE,3112
2020-01-13 00:00:00.000112875,WHEN_MKT_OPEN,5009
2020-01-13 00:00:00.000112875,WHEN_MKT_CLOSE,5009
2020-01-13 00:00:00.000113895,WHEN_MKT_OPEN,3923
2020-01-13 00:00:00.000113895,WHEN_MKT_CLOSE,3923
2020-01-13 00:00:00.000114724,WHEN_MKT_OPEN,4931
2020-01-13 00:00:00.000114724,WHEN_MKT_CLOSE,4931
2020-01-13 00:00:00.000117468,WHEN_MKT_OPEN,2884
2020-01-13 00:00:00.000117468,WHEN_MKT_CLOSE,2884
2020-01-13 00:00:00.000119800,WHEN_MKT_OPEN,4755
2020-01-13 00:00:00.000119800,WHEN_MKT_CLOSE,4755
2020-01-13 00:00:00.000121388,WHEN_MKT_OPEN,318
2020-01-13 00:00:00.000121388,WHEN_MKT_CLOSE,318
2020-01-13 00:00:00.000123853,WHEN_MKT_OPEN,1250
2020-01-13 00:00:00.000123853,WHEN_MKT_CLOSE,1250
2020-01-13 00:00:00.000132749,WHEN_MKT_OPEN,1073
2020-01-13 00:00:00.000132749,WHEN_MKT_CLOSE,1073
2020-01-13 00:00:00.000136846,WHEN_MKT_OPEN,4531
2020-01-13 00:00:00.000136846,WHEN_MKT_CLOSE,4531
2020-01-13 00:00:00.000136903,WHEN_MKT_OPEN,3801
2020-01-13 00:00:00.000136903,WHEN_MKT_CLOSE,3801
2020-01-13 00:00:00.000138659,WHEN_MKT_OPEN,317
2020-01-13 00:00:00.000138659,WHEN_MKT_CLOSE,317
2020-01-13 00:00:00.000141032,WHEN_MKT_OPEN,118
2020-01-13 00:00:00.000141032,WHEN_MKT_CLOSE,118
2020-01-13 00:00:00.000145680,WHEN_MKT_OPEN,1414
2020-01-13 00:00:00.000145680,WHEN_MKT_CLOSE,1414
2020-01-13 00:00:00.000150033,WHEN_MKT_OPEN,4203
2020-01-13 00:00:00.000150033,WHEN_MKT_CLOSE,4203
2020-01-13 00:00:00.000150384,WHEN_MKT_OPEN,2408
2020-01-13 00:00:00.000150384,WHEN_MKT_CLOSE,2408
2020-01-13 00:00:00.000156046,WHEN_MKT_OPEN,4527
2020-01-13 00:00:00.000156046,WHEN_MKT_CLOSE,4527
2020-01-13 00:00:00.000156662,WHEN_MKT_OPEN,3279
2020-01-13 00:00:00.000156662,WHEN_MKT_CLOSE,3279
2020-01-13 00:00:00.000158231,WHEN_MKT_OPEN,1407
2020-01-13 00:00:00.000158231,WHEN_MKT_CLOSE,1407
2020-01-13 00:00:00.000166206,WHEN_MKT_OPEN,4929
2020-01-13 00:00:00.000166206,WHEN_MKT_CLOSE,4929
2020-01-13 00:00:00.000168178,WHEN_MKT_OPEN,709
