FundamentalTime,FundamentalValue
2020-01-13 09:30:00.000000000,100000.0
2020-01-13 09:30:00.000004922,100000.0
2020-01-13 09:30:00.000009848,100000.0
2020-01-13 09:30:00.000186552,100000.0
2020-01-13 09:30:00.000225743,100000.0
2020-01-13 09:30:00.000455894,100000.0
2020-01-13 09:30:00.000464279,100000.0
2020-01-13 09:30:00.000525151,100000.0
2020-01-13 09:30:00.001329817,100000.0
2020-01-13 09:30:00.001587715,100000.0
2020-01-13 09:30:00.001760113,100000.0
2020-01-13 09:30:00.002058247,100000.0
2020-01-13 09:30:00.002099117,100000.0
2020-01-13 09:30:00.002354615,100000.0
2020-01-13 09:30:00.002473464,100000.0
2020-01-13 09:30:00.002652948,100000.0
2020-01-13 09:30:00.002685945,100000.0
2020-01-13 09:30:00.003578053,100000.0
2020-01-13 09:30:00.003701738,100000.0
2020-01-13 09:30:00.003756785,100000.0
2020-01-13 09:30:00.003973555,100000.0
2020-01-13 09:30:00.004253473,100000.0
2020-01-13 09:30:00.004397826,100000.0
2020-01-13 09:30:00.004525386,100000.0
2020-01-13 09:30:00.004790199,100000.0
2020-01-13 09:30:00.005407732,100000.0
2020-01-13 09:30:00.005508658,100000.0
2020-01-13 09:30:00.005908117,100000.0
2020-01-13 09:30:00.006030494,100000.0
2020-01-13 09:30:00.006598974,100000.0
2020-01-13 09:30:00.007072287,100000.0
2020-01-13 09:30:00.007172539,100000.0
2020-01-13 09:30:00.007194490,100000.0
2020-01-13 09:30:00.007941541,100000.0
2020-01-13 09:30:00.007959950,100000.0
2020-01-13 09:30:00.008101448,100000.0
2020-01-13 09:30:00.008126747,100000.0
2020-01-13 09:30:00.008220555,100000.0
2020-01-13 09:30:00.008527744,100000.0
2020-01-13 09:30:00.008583149,100000.0
2020-01-13 09:30:00.008636941,100000.0
2020-01-13 09:30:00.009065434,100000.0
2020-01-13 09:30:00.009451535,100000.0
2020-01-13 09:30:00.009619012,100000.0
2020-01-13 09:30:00.009751852,100000.0
2020-01-13 09:30:00.010098722,100000.0
2020-01-13 09:30:00.010180226,100000.0
2020-01-13 09:30:00.010305194,100000.0
2020-01-13 09:30:00.010413375,100000.0
2020-01-13 09:30:00.010526975,100000.0
2020-01-13 09:30:00.010607253,100000.0
2020-01-13 09:30:00.010680082,100000.0
2020-01-13 09:30:00.011193706,100000.0
2020-01-13 09:30:00.011595387,100000.0
2020-01-13 09:30:00.011672359,100000.0
2020-01-13 09:30:00.011943803,100000.0
2020-01-13 09:30:00.012383005,100000.0
2020-01-13 09:30:00.012650804,100000.0
2020-01-13 09:30:00.012865130,100000.0
2020-01-13 09:30:00.013637551,100000.0
2020-01-13 09:30:00.013947593,100000.0
2020-01-13 09:30:00.014298406,100000.0
2020-01-13 09:30:00.014368627,100000.0
2020-01-13 09:30:00.014438587,100000.0
2020-01-13 09:30:00.014858513,100000.0
2020-01-13 09:30:00.015895250,100000.0
2020-01-13 09:30:00.015974379,100000.0
2020-01-13 09:30:00.016040107,100000.0
2020-01-13 09:30:00.016201545,100000.0
2020-01-13 09:30:00.016269006,100000.0
2020-01-13 09:30:00.016360784,100000.0
2020-01-13 09:30:00.016645427,100000.0
2020-01-13 09:30:00.016704985,100000.0
2020-01-13 09:30:00.016844878,100000.0
2020-01-13 09:30:00.016881282,100000.0
2020-01-13 09:30:00.017005539,100000.0
2020-01-13 09:30:00.017068571,100000.0
2020-01-13 09:30:00.018070509,100000.0
2020-01-13 09:30:00.018819418,100000.0
2020-01-13 09:30:00.018849607,100000.0
2020-01-13 09:30:00.019404646,100000.0
2020-01-13 09:30:00.019762651,100000.0
2020-01-13 09:30:00.019770200,100000.0
2020-01-13 09:30:00.020113628,100000.0
2020-01-13 09:30:00.020341067,100000.0
2020-01-13 09:30:00.020996798,100000.0
2020-01-13 09:30:00.021168787,100000.0
2020-01-13 09:30:00.021403936,100000.0
2020-01-13 09:30:00.022685170,100000.0
2020-01-13 09:30:00.022734835,100000.0
2020-01-13 09:30:00.022801570,100000.0
2020-01-13 09:30:00.023296768,100000.0
2020-01-13 09:30:00.023308045,100000.0
2020-01-13 09:30:00.024092677,100000.0
2020-01-13 09:30:00.024329731,100000.0
2020-01-13 09:30:00.024389410,100000.0
2020-01-13 09:30:00.025309437,100000.0
2020-01-13 09:30:00.025320689,100000.0
2020-01-13 09:30:00.025343945,100000.0
2020-01-13 09:30:00.025422578,100000.0
2020-01-13 09:30:00.025449429,100000.0
2020-01-13 09:30:00.092924300,100001.0
2020-01-13 09:30:00.196791352,100002.0
2020-01-13 09:30:00.202410437,100002.0
2020-01-13 09:30:00.207948842,100002.0
2020-01-13 09:30:00.255100628,100002.0
2020-01-13 09:30:00.345294485,100001.0
2020-01-13 09:30:00.492420383,100000.0
2020-01-13 09:30:00.588351731,100001.0
2020-01-13 09:30:00.591948028,100001.0
2020-01-13 09:30:00.604001931,100001.0
2020-01-13 09:30:00.642546226,100000.0
2020-01-13 09:30:00.735841564,100000.0
2020-01-13 09:30:00.808630474,100001.0
2020-01-13 09:30:01.011446116,100000.0
2020-01-13 09:30:01.144128520,100000.0
2020-01-13 09:30:01.147652606,100000.0
2020-01-13 09:30:01.555522362,100006.0
2020-01-13 09:30:01.717088727,100006.0
2020-01-13 09:30:01.776501626,100006.0
2020-01-13 09:30:01.778315474,100006.0
2020-01-13 09:30:01.816202886,100006.0
2020-01-13 09:30:01.990974939,100006.0
2020-01-13 09:30:02.080684575,100005.0
2020-01-13 09:30:02.142084979,100005.0
2020-01-13 09:30:02.208656511,100005.0
2020-01-13 09:30:02.284211762,100005.0
2020-01-13 09:30:02.369546622,100004.0
2020-01-13 09:30:02.582731810,100005.0
2020-01-13 09:30:02.808055831,100005.0
2020-01-13 09:30:02.926750369,100005.0
2020-01-13 09:30:02.949704708,100005.0
2020-01-13 09:30:03.025655795,100006.0
2020-01-13 09:30:03.068515651,100006.0
2020-01-13 09:30:03.341263831,100010.0
2020-01-13 09:30:03.430975145,100009.0
2020-01-13 09:30:03.487397096,100008.0
2020-01-13 09:30:03.495992882,100008.0
2020-01-13 09:30:04.226569914,100022.0
2020-01-13 09:30:04.481215152,100020.0
2020-01-13 09:30:04.493682230,100020.0
2020-01-13 09:30:04.541037779,100020.0
2020-01-13 09:30:04.752321427,100018.0
2020-01-13 09:30:04.803620680,100018.0
2020-01-13 09:30:04.890860664,100018.0
2020-01-13 09:30:04.911159644,100018.0
2020-01-13 09:30:04.936557551,100018.0
2020-01-13 09:30:04.954755114,100018.0
2020-01-13 09:30:04.954881685,100018.0
2020-01-13 09:30:05.025337485,100018.0
2020-01-13 09:30:05.034386517,100018.0
2020-01-13 09:30:05.037995927,100018.0
2020-01-13 09:30:05.109128759,100019.0
2020-01-13 09:30:05.234372882,100018.0
2020-01-13 09:30:05.280098061,100018.0
2020-01-13 09:30:05.541008486,100021.0
2020-01-13 09:30:05.696918792,100021.0
2020-01-13 09:30:05.733722203,100021.0
2020-01-13 09:30:05.927227758,100017.0
2020-01-13 09:30:06.002385897,100018.0
2020-01-13 09:30:06.193409423,100020.0
2020-01-13 09:30:06.256753615,100018.0
2020-01-13 09:30:06.321987258,100017.0
2020-01-13 09:30:06.435908564,100017.0
2020-01-13 09:30:06.590111115,100014.0
2020-01-13 09:30:06.603813333,100014.0
2020-01-13 09:30:06.654745796,100015.0
2020-01-13 09:30:06.797147842,100015.0
2020-01-13 09:30:06.963530185,100016.0
2020-01-13 09:30:07.530660715,100025.0
2020-01-13 09:30:08.055285879,100031.0
2020-01-13 09:30:08.110855111,100030.0
2020-01-13 09:30:08.228216915,100030.0
2020-01-13 09:30:08.595400710,100036.0
2020-01-13 09:30:08.918696210,100043.0
2020-01-13 09:30:09.061903471,100042.0
2020-01-13 09:30:09.718364881,100039.0
2020-01-13 09:30:09.940734419,100038.0
2020-01-13 09:30:09.999220010,100039.0
2020-01-13 09:30:10.099291100,100040.0
2020-01-13 09:30:10.182709563,100039.0
2020-01-13 09:30:10.219087930,100039.0
2020-01-13 09:30:10.245787210,100039.0
2020-01-13 09:30:10.772897124,100036.0
2020-01-13 09:30:10.912479317,100037.0
2020-01-13 09:30:11.042815485,100035.0
2020-01-13 09:30:11.094682674,100035.0
2020-01-13 09:30:11.559922093,100026.0
2020-01-13 09:30:11.694932890,100027.0
2020-01-13 09:30:11.774275550,100028.0
2020-01-13 09:30:11.807834715,100028.0
2020-01-13 09:30:11.971358878,100032.0
2020-01-13 09:30:12.111926351,100033.0
2020-01-13 09:30:12.157509018,100033.0
2020-01-13 09:30:12.787773235,100038.0
2020-01-13 09:30:12.846442224,100038.0
2020-01-13 09:30:12.985949948,100039.0
2020-01-13 09:30:12.987175027,100039.0
2020-01-13 09:30:13.100992822,100040.0
2020-01-13 09:30:13.232244165,100040.0
2020-01-13 09:30:13.386936238,100041.0
2020-01-13 09:30:13.495046798,100041.0
2020-01-13 09:30:13.544385784,100041.0
2020-01-13 09:30:13.737158845,100040.0
2020-01-13 09:30:13.759746513,100040.0
2020-01-13 09:30:14.009764391,100042.0
2020-01-13 09:30:14.089867131,100043.0
2020-01-13 09:30:14.237110078,100044.0
2020-01-13 09:30:14.309500633,100045.0
2020-01-13 09:30:14.369237573,100044.0
2020-01-13 09:30:14.551545339,100042.0
