AgentID,AgentStrategy,EventType,Event
128,NoiseAgent,STARTING_CASH,10000000.0
129,NoiseAgent,STARTING_CASH,10000000.0
130,NoiseAgent,STARTING_CASH,10000000.0
131,NoiseAgent,STARTING_CASH,10000000.0
132,NoiseAgent,STARTING_CASH,10000000.0
133,NoiseAgent,STARTING_CASH,10000000.0
134,NoiseAgent,STARTING_CASH,10000000.0
135,NoiseAgent,STARTING_CASH,10000000.0
136,NoiseAgent,STARTING_CASH,10000000.0
137,NoiseAgent,STARTING_CASH,10000000.0
138,NoiseAgent,STARTING_CASH,10000000.0
139,NoiseAgent,STARTING_CASH,10000000.0
140,NoiseAgent,STARTING_CASH,10000000.0
141,NoiseAgent,STARTING_CASH,10000000.0
142,NoiseAgent,STARTING_CASH,10000000.0
143,NoiseAgent,STARTING_CASH,10000000.0
144,NoiseAgent,STARTING_CASH,10000000.0
145,NoiseAgent,STARTING_CASH,10000000.0
146,NoiseAgent,STARTING_CASH,10000000.0
147,NoiseAgent,STARTING_CASH,10000000.0
148,NoiseAgent,STARTING_CASH,10000000.0
149,NoiseAgent,STARTING_CASH,10000000.0
150,NoiseAgent,STARTING_CASH,10000000.0
151,NoiseAgent,STARTING_CASH,10000000.0
152,NoiseAgent,STARTING_CASH,10000000.0
153,NoiseAgent,STARTING_CASH,10000000.0
154,NoiseAgent,STARTING_CASH,10000000.0
155,NoiseAgent,STARTING_CASH,10000000.0
156,NoiseAgent,STARTING_CASH,10000000.0
157,NoiseAgent,STARTING_CASH,10000000.0
158,NoiseAgent,STARTING_CASH,10000000.0
159,NoiseAgent,STARTING_CASH,10000000.0
160,NoiseAgent,STARTING_CASH,10000000.0
161,NoiseAgent,STARTING_CASH,10000000.0
162,NoiseAgent,STARTING_CASH,10000000.0
163,NoiseAgent,STARTING_CASH,10000000.0
164,NoiseAgent,STARTING_CASH,10000000.0
165,NoiseAgent,STARTING_CASH,10000000.0
166,NoiseAgent,STARTING_CASH,10000000.0
167,NoiseAgent,STARTING_CASH,10000000.0
168,NoiseAgent,STARTING_CASH,10000000.0
169,NoiseAgent,STARTING_CASH,10000000.0
170,NoiseAgent,STARTING_CASH,10000000.0
171,NoiseAgent,STARTING_CASH,10000000.0
172,NoiseAgent,STARTING_CASH,10000000.0
173,NoiseAgent,STARTING_CASH,10000000.0
174,NoiseAgent,STARTING_CASH,10000000.0
175,NoiseAgent,STARTING_CASH,10000000.0
176,NoiseAgent,STARTING_CASH,10000000.0
177,NoiseAgent,STARTING_CASH,10000000.0
178,NoiseAgent,STARTING_CASH,10000000.0
179,NoiseAgent,STARTING_CASH,10000000.0
180,NoiseAgent,STARTING_CASH,10000000.0
181,NoiseAgent,STARTING_CASH,10000000.0
182,NoiseAgent,STARTING_CASH,10000000.0
183,NoiseAgent,STARTING_CASH,10000000.0
184,NoiseAgent,STARTING_CASH,10000000.0
185,NoiseAgent,STARTING_CASH,10000000.0
186,NoiseAgent,STARTING_CASH,10000000.0
187,NoiseAgent,STARTING_CASH,10000000.0
188,NoiseAgent,STARTING_CASH,10000000.0
189,NoiseAgent,STARTING_CASH,10000000.0
190,NoiseAgent,STARTING_CASH,10000000.0
191,NoiseAgent,STARTING_CASH,10000000.0
192,NoiseAgent,STARTING_CASH,10000000.0
193,NoiseAgent,STARTING_CASH,10000000.0
194,NoiseAgent,STARTING_CASH,10000000.0
195,NoiseAgent,STARTING_CASH,10000000.0
196,NoiseAgent,STARTING_CASH,10000000.0
197,NoiseAgent,STARTING_CASH,10000000.0
198,NoiseAgent,STARTING_CASH,10000000.0
199,NoiseAgent,STARTING_CASH,10000000.0
200,NoiseAgent,STARTING_CASH,10000000.0
201,NoiseAgent,STARTING_CASH,10000000.0
202,NoiseAgent,STARTING_CASH,10000000.0
203,NoiseAgent,STARTING_CASH,10000000.0
204,NoiseAgent,STARTING_CASH,10000000.0
205,NoiseAgent,STARTING_CASH,10000000.0
206,NoiseAgent,STARTING_CASH,10000000.0
207,NoiseAgent,STARTING_CASH,10000000.0
208,NoiseAgent,STARTING_CASH,10000000.0
209,NoiseAgent,STARTING_CASH,10000000.0
210,NoiseAgent,STARTING_CASH,10000000.0
211,NoiseAgent,STARTING_CASH,10000000.0
212,NoiseAgent,STARTING_CASH,10000000.0
213,NoiseAgent,STARTING_CASH,10000000.0
214,NoiseAgent,STARTING_CASH,10000000.0
215,NoiseAgent,STARTING_CASH,10000000.0
216,NoiseAgent,STARTING_CASH,10000000.0
217,NoiseAgent,STARTING_CASH,10000000.0
218,NoiseAgent,STARTING_CASH,10000000.0
219,NoiseAgent,STARTING_CASH,10000000.0
220,NoiseAgent,STARTING_CASH,10000000.0
221,NoiseAgent,STARTING_CASH,10000000.0
222,NoiseAgent,STARTING_CASH,10000000.0
223,NoiseAgent,STARTING_CASH,10000000.0
224,NoiseAgent,STARTING_CASH,10000000.0
225,NoiseAgent,STARTING_CASH,10000000.0
226,NoiseAgent,STARTING_CASH,10000000.0
227,NoiseAgent,STARTING_CASH,10000000.0
228,NoiseAgent,STARTING_CASH,10000000.0
229,NoiseAgent,STARTING_CASH,10000000.0
230,NoiseAgent,STARTING_CASH,10000000.0
231,NoiseAgent,STARTING_CASH,10000000.0
232,NoiseAgent,STARTING_CASH,10000000.0
233,NoiseAgent,STARTING_CASH,10000000.0
234,NoiseAgent,STARTING_CASH,10000000.0
235,NoiseAgent,STARTING_CASH,10000000.0
236,NoiseAgent,STARTING_CASH,10000000.0
237,NoiseAgent,STARTING_CASH,10000000.0
238,NoiseAgent,STARTING_CASH,10000000.0
239,NoiseAgent,STARTING_CASH,10000000.0
240,NoiseAgent,STARTING_CASH,10000000.0
241,NoiseAgent,STARTING_CASH,10000000.0
242,NoiseAgent,STARTING_CASH,10000000.0
243,NoiseAgent,STARTING_CASH,10000000.0
244,NoiseAgent,STARTING_CASH,10000000.0
245,NoiseAgent,STARTING_CASH,10000000.0
246,NoiseAgent,STARTING_CASH,10000000.0
247,NoiseAgent,STARTING_CASH,10000000.0
248,NoiseAgent,STARTING_CASH,10000000.0
249,NoiseAgent,STARTING_CASH,10000000.0
250,NoiseAgent,STARTING_CASH,10000000.0
251,NoiseAgent,STARTING_CASH,10000000.0
252,NoiseAgent,STARTING_CASH,10000000.0
253,NoiseAgent,STARTING_CASH,10000000.0
254,NoiseAgent,STARTING_CASH,10000000.0
255,NoiseAgent,STARTING_CASH,10000000.0
256,NoiseAgent,STARTING_CASH,10000000.0
257,NoiseAgent,STARTING_CASH,10000000.0
258,NoiseAgent,STARTING_CASH,10000000.0
259,NoiseAgent,STARTING_CASH,10000000.0
260,NoiseAgent,STARTING_CASH,10000000.0
261,NoiseAgent,STARTING_CASH,10000000.0
