EventTime,agent_id,time_placed,symbol,quantity,is_buy_order,order_id,fill_price,tag,limit_price
2020-01-13 09:30:00.000551947,1131,2020-01-13T09:30:00.000367959,ABM,8,1,44,99791,,99791
2020-01-13 09:30:00.000551947,4389,2020-01-13T09:30:00.000105377,ABM,8,0,22,99791,,99791
2020-01-13 09:30:00.000559580,1498,2020-01-13T09:30:00.000373054,ABM,31,1,45,99791,,99791
2020-01-13 09:30:00.000559580,4389,2020-01-13T09:30:00.000105377,ABM,31,0,22,99791,,99791
2020-01-13 09:30:00.000559580,1498,2020-01-13T09:30:00.000373054,ABM,18,1,45,99791,,99791
2020-01-13 09:30:00.000559580,1905,2020-01-13T09:30:00.000117743,ABM,18,0,23,99791,,99791
2020-01-13 09:30:00.000572837,4349,2020-01-13T09:30:00.000381907,ABM,10,1,46,99791,,99791
2020-01-13 09:30:00.000572837,1905,2020-01-13T09:30:00.000117743,ABM,10,0,23,99791,,99791
2020-01-13 09:30:00.000572837,4349,2020-01-13T09:30:00.000381907,ABM,24,1,46,99791,,99791
2020-01-13 09:30:00.000572837,227,2020-01-13T09:30:00.000125063,ABM,24,0,24,99791,,99791
2020-01-13 09:30:00.000575125,3904,2020-01-13T09:30:00.000383427,ABM,14,1,47,99791,,99791
2020-01-13 09:30:00.000575125,227,2020-01-13T09:30:00.000125063,ABM,14,0,24,99791,,99791
2020-01-13 09:30:00.000575125,3904,2020-01-13T09:30:00.000383427,ABM,21,1,47,99791,,99791
2020-01-13 09:30:00.000575125,3434,2020-01-13T09:30:00.000130302,ABM,21,0,25,99791,,99791
2020-01-13 09:30:00.000582977,2357,2020-01-13T09:30:00.000388644,ABM,17,1,48,99791,,99791
2020-01-13 09:30:00.000582977,3434,2020-01-13T09:30:00.000130302,ABM,17,0,25,99791,,99791
2020-01-13 09:30:00.000582977,2357,2020-01-13T09:30:00.000388644,ABM,22,1,48,99791,,99791
2020-01-13 09:30:00.000582977,410,2020-01-13T09:30:00.000133325,ABM,22,0,26,99791,,99791
