Exchange,nbbo_share_bid_pct,nbbo_share_ask_pct,volume_share_pct,n_trades,avg_depth_at_best,adverse_selection_bps,routable,ticker,date
FINRA,0.0,0.0,49.442112610615844,100809,0.0,-0.4035432252220607,false,AAPL,20200113
NASDAQ,29.42468554219364,35.56556356042448,19.32704437868349,55704,303.67979269713373,-3.0725345856316544,true,AAPL,20200113
BATS,31.061040387365047,31.336183772756893,10.386128201607056,29860,273.57832540247625,-0.10882908583942091,true,AAPL,20200113
ARCA,12.902958424568117,10.361047985466904,7.792599686785581,23120,270.9954945207808,0.05332336181782058,true,AAPL,20200113
EDGX,8.755546038741109,5.477080210628593,5.690825635198412,16042,251.85346419714,-0.22960962807912402,true,AAPL,20200113
NYSE,9.78290150787785,10.118829708117765,2.2503374419304594,6011,177.85191737086555,-0.07634998679904545,true,AAPL,20200113
IEX,0.21090488788194853,0.165086031235106,1.9698248290377232,4742,569.1509182858664,-0.29417358226450324,true,AAPL,20200113
NASDAQ PSX,4.760786426566648,5.67693331399271,0.694070200729031,1417,221.7622872118111,-0.2963892483807281,true,AAPL,20200113
EDGA,1.092514948689788,0.22702207363711926,0.6736102266428636,2888,130.6101989264288,-0.48998316727071856,true,AAPL,20200113
NASDAQ BX,0.5834421243371807,0.3861217215917333,0.5700402795733966,2299,115.61693091049494,-0.37643325613738865,true,AAPL,20200113
BATS Y,0.7022488079038679,0.3700045358365625,0.5387828752400516,2290,177.39893545344293,-0.22703024351228343,true,AAPL,20200113
CSE,0.02578749720827318,0.031083143956400713,0.40205218769811596,56,10038.933169834458,-9.812280710492994,true,AAPL,20200113
NSE,0.601861765200233,0.16669774981062305,0.1995336648577265,764,299.1080320415674,-0.5191812049251274,true,AAPL,20200113
AMEX,0.09532164146629551,0.11834619254511086,0.06303778140024349,273,445.7936717786004,-0.4874815160075783,true,AAPL,20200113
FINRA,0.0,0.0,47.082205153975465,121842,0.0,-0.41071369414030373,false,AAPL,20200114
NASDAQ,32.266483169429286,34.40959615250285,22.196650961326544,91994,251.94343328470325,-0.23138656260643936,true,AAPL,20200114
BATS,33.5981261880381,28.676248749726906,10.25530657970668,38106,263.93114030118915,0.20482953640035748,true,AAPL,20200114
ARCA,10.85244473904404,11.122488864581118,7.347077825723557,30350,255.70665035269997,0.19422352703734272,true,AAPL,20200114
EDGX,5.047313454796218,4.9257415809991185,4.585918015238916,19627,241.70987626342745,0.35541969459149614,true,AAPL,20200114
NYSE,12.969846311155631,15.705510713335602,2.393585338578781,8097,225.77252721313667,0.08877833986288086,true,AAPL,20200114
IEX,0.13108360964430565,0.3442059409707618,2.1327960230802687,5984,179.8512665582152,0.18507870462984194,true,AAPL,20200114
CSE,0.05082833843350628,0.05142282192395664,1.0472926457697305,62,13557.921328040418,-6.6791760019173845,true,AAPL,20200114
EDGA,0.7013418978588191,0.5296847899912759,0.7648555884830796,4336,130.2154680995855,0.8472038305335386,true,AAPL,20200114
NASDAQ PSX,2.5824362825163893,3.0388509823096577,0.6911320476312538,2043,201.39011547391405,0.30504252497175477,true,AAPL,20200114
NASDAQ BX,0.40870739968462655,0.4678585069844379,0.6493410713819268,3584,206.67369103582428,1.762671013080836,true,AAPL,20200114
BATS Y,0.4008304934361591,0.3829959887226482,0.5349904690399478,3031,137.75976415026284,0.5967224077490584,true,AAPL,20200114
NSE,0.8966297244717641,0.25622238438410766,0.23590728523211543,1213,101.87911618602351,-0.18695182646342148,true,AAPL,20200114
AMEX,0.0939283914911578,0.08917252356755487,0.08294099483173574,435,633.070051716032,2.914228997321282,true,AAPL,20200114
FINRA,0.0,0.0,48.90375905114769,92873,0.0,-0.3328603164451387,false,AAPL,20200115
NASDAQ,30.826685956226857,35.23137517752147,20.061414096625903,70670,247.2141242532427,1.1612060993664783,true,AAPL,20200115
BATS,29.933769560543116,33.183076065460625,10.770224070701524,33077,256.61443214530914,-0.2097550371270149,true,AAPL,20200115
ARCA,12.710537143463894,10.506948223458052,7.46262348837149,24186,259.9745929765642,0.16997803953975635,true,AAPL,20200115
EDGX,9.380931207942343,6.078865986223007,5.529026088486544,16806,246.4694018436049,0.10347969500411222,true,AAPL,20200115
NYSE,9.512330276203496,9.04894947108557,2.4436751367395173,5679,226.0264410937162,0.015598469097015705,true,AAPL,20200115
IEX,0.21053714346389182,0.093903879590672,1.279762138750522,2896,117.13961407491487,-1.5760017221695322,true,AAPL,20200115
EDGA,1.6826380685664228,0.22596657950970894,0.8813357233392315,3548,152.34834340318446,-0.3932523962517689,true,AAPL,20200115
NASDAQ PSX,3.765777842666206,4.554835883891005,0.7666498765752183,1723,213.71657940884947,0.12973056373150132,true,AAPL,20200115
NASDAQ BX,0.5977662158395604,0.5655800804321569,0.7344120472007073,3012,303.8609301548667,-1.2102516509458165,true,AAPL,20200115
BATS Y,0.6253069296417716,0.21070305137836295,0.5929775534418863,2208,300.8154685201817,-0.4210311681058803,true,AAPL,20200115
CSE,0.04910874268346097,0.09075162921572011,0.3862883141283692,79,14337.08383961118,-21.859086379306156,true,AAPL,20200115
NSE,0.5632573696295609,0.13554676612293112,0.12991895042563933,475,100.41245998522531,-0.4550413331196347,true,AAPL,20200115
AMEX,0.14135354312942144,0.0734972061107203,0.057933464065759485,243,652.1984006617951,-0.21937167069724312,true,AAPL,20200115
FINRA,0.0,0.0,50.291949756330524,78044,0.0,-0.49502156716305706,false,AAPL,20200116
NASDAQ,39.50335518102372,34.92099719101124,20.71642897072359,52654,271.45048536706145,-0.948175496470716,true,AAPL,20200116
BATS,28.22624063670412,32.02968945068665,10.084002881558316,27205,282.79885019674896,0.18633664912091408,true,AAPL,20200116
ARCA,13.184105805243446,12.256749375780275,6.267998855271354,18232,244.1427694404128,-0.056307010547595605,true,AAPL,20200116
EDGX,5.23915418227216,5.0782225343320855,4.009788574324393,10577,244.70209884901828,-0.19622159231610023,true,AAPL,20200116
CSE,0.42602996254681647,0.44202559300873906,3.1234821710006,187,9692.475345167653,-5.7100925200509804,true,AAPL,20200116
NYSE,9.001248439450686,9.937578027465669,1.8653504222202744,3958,220.0609834355244,-0.33396122584856597,true,AAPL,20200116
IEX,0.07666198501872659,0.26509831460674155,1.2651598386665686,2789,189.39808481532148,-1.263321814213856,true,AAPL,20200116
EDGA,0.6425561797752809,0.692103620474407,0.7055497363616288,2734,140.1411151161899,0.054155805762134114,true,AAPL,20200116
NASDAQ PSX,2.7258895131086143,2.8530742821473156,0.5088254150325494,826,215.56283131886187,-0.11648836432353715,true,AAPL,20200116
NASDAQ BX,0.15976123595505617,0.38896691635455677,0.446667246605018,1542,138.30898816504958,-0.33501680748040785,true,AAPL,20200116
BATS Y,0.3288857677902622,0.4496332709113608,0.3961645122012201,1618,126.92957349974193,-0.21540276457439372,true,AAPL,20200116
NSE,0.4174469413233458,0.32244850187265917,0.20515388282685612,624,100.94088902224699,0.13963815227743906,true,AAPL,20200116
AMEX,0.0686641697877653,0.3634129213483146,0.11347773687710495,360,111.02362204724409,0.2294760988015497,true,AAPL,20200116
FINRA,0.0,0.0,41.99170614326651,86058,0.0,-0.15215214708508876,false,AAPL,20200117
NASDAQ,27.26157203688335,33.58885221364918,27.737995562706335,56779,298.3391564989926,-7.063664378239024,true,AAPL,20200117
BATS,30.236865374927095,32.49430883431966,9.668070741004797,29754,277.71097421912236,-0.0827855016370968,true,AAPL,20200117
ARCA,15.035338532902149,10.599469451662197,6.079137374127427,21864,264.81889775529464,-0.21644349450647035,true,AAPL,20200117
EDGX,8.554203519011315,5.2835339787153535,4.629498254380242,14954,254.71390107510686,-0.037656437822629764,true,AAPL,20200117
CSE,0.19754459386294795,0.23726255453380524,3.520547017663704,161,2641.3367235742826,-0.6555071107266323,true,AAPL,20200117
NYSE,13.300708861077027,11.232657361514969,2.3375549152472206,6421,228.82182650182267,-0.07083815816388106,true,AAPL,20200117
IEX,0.0940688542204514,0.22095728646892698,1.076173323597466,3405,117.99936285441224,-0.057758555322564374,true,AAPL,20200117
