ticker,date,strategy,is_bps,vwap_slip_bps,eff_spread_bps,markout_60s_bps,price_var,n_fills
AAPL,20200113,twap,31.39267567826309,0.9966278504428706,0.8975961947647085,-0.05347742878707662,0.3335382562189551,60
AAPL,20200113,ac_ra,21.21464864346759,-9.212433789937672,0.8814148211787577,-1.376497491224854,0.3335382562189551,60
AAPL,20200113,vwap_following,30.58537053014886,0.18686108606717625,0.9043066527280919,0.25091095128160906,0.3352735201791756,12
AAPL,20200113,pov_5pct_cap,30.58537053014886,0.18686108606717625,0.9043066527280919,0.25091095128160906,0.3352735201791756,12
AAPL,20200113,toth,30.585178793978315,0.18666876525911705,0.9043386819303942,0.25062249282628546,0.3352735201791756,12
AAPL,20200113,rl_v2,19.27760201961895,-11.155386811732148,0.8426738066079943,-1.6288010326543254,0.32802578775332997,109
AAPL,20200114,twap,-71.42217477213511,-2.182067920845275,0.9390567155706638,1.520952269949331,0.8072327529988611,60
AAPL,20200114,ac_ra,-49.88323028874364,19.208798288036984,1.07730195196623,5.094948569427865,0.8072327529988611,60
AAPL,20200114,vwap_following,-69.12056217732295,0.10372129776145365,0.787184301683097,2.938665319299991,0.8201824445964637,12
AAPL,20200114,pov_5pct_cap,-69.12056217732295,0.10372129776145365,0.787184301683097,2.938665319299991,0.8201824445964637,12
AAPL,20200114,toth,-69.12327108165123,0.10103101690281731,0.787184044854036,2.938314280119118,0.8201824445964637,12
AAPL,20200114,rl_v2,-46.18911339154625,22.87751846923493,1.0348320320110527,5.279305701941424,0.8338536047727071,97
AAPL,20200115,twap,26.012176753185162,2.131806615426098,0.921951960595856,0.15069522061877128,0.33561664302213573,60
AAPL,20200115,ac_ra,16.340790537647628,-7.562735461805385,0.9021778224667509,-0.5180928399168085,0.33561664302213573,60
AAPL,20200115,vwap_following,24.779978119896914,0.8966577720546187,0.9569220229729436,1.1947546193755059,0.286180436830065,12
AAPL,20200115,pov_5pct_cap,24.779978119896914,0.8966577720546187,0.9569220229729436,1.1947546193755059,0.286180436830065,12
AAPL,20200115,toth,24.779978119896914,0.8966577720546187,0.9569220229729436,1.1947546193755059,0.286180436830065,12
AAPL,20200115,rl_v2,14.66819933091014,-9.239331295159017,0.893406392277068,-0.710635289866546,0.3519307403998207,110
AAPL,20200116,twap,2.880344597393414,-0.5294996891349435,0.8266097628459783,-0.3848454954620326,0.6429534606348836,60
AAPL,20200116,ac_ra,-10.41094192072059,-13.825319634771734,0.8152176975458917,0.9939356340673682,0.6429534606348836,60
AAPL,20200116,vwap_following,3.0452363543871095,-0.3645516904201457,0.8495415826945087,-1.4759314423715966,0.6362794316583879,12
AAPL,20200116,pov_5pct_cap,3.0452363543871095,-0.3645516904201457,0.8495415826945087,-1.4759314423715966,0.6362794316583879,12
AAPL,20200116,toth,3.0387831007374957,-0.371007145162759,0.8495092330163989,-1.4746297950130742,0.6362794316583879,12
AAPL,20200116,rl_v2,-10.197285182947091,-13.61159002238718,0.8072982261075539,1.2971895108727352,0.5356448654088258,98
AAPL,20200117,twap,14.242541846121291,1.7772090795991862,0.73208202071893,0.11154740852672602,0.2826189065290603,60
AAPL,20200117,ac_ra,6.625554135708243,-5.84928700179991,0.8538998618235534,0.17980263314784983,0.2826189065290603,60
AAPL,20200117,vwap_following,13.049426538565303,0.5826043928549031,0.8332498534546944,-0.7427786816473066,0.25394463724969174,12
AAPL,20200117,pov_5pct_cap,13.049426538565303,0.5826043928549031,0.8332498534546944,-0.7427786816473066,0.25394463724969174,12
AAPL,20200117,toth,13.049426538565303,0.5826043928549031,0.8332498534546944,-0.7427786816473066,0.25394463724969174,12
AAPL,20200117,rl_v2,4.2870620158709585,-8.19069828751598,0.8155323436134411,0.19772019951804995,0.27117495835959643,106
AMZN,20200113,twap,6.694065984157528,0.7666732872899195,3.087089521149534,1.4393792412639899,2.0267257485626904,60
AMZN,20200113,ac_ra,-0.20208675095657794,-6.133569806473116,3.1365952848598306,1.5187381656522896,2.0267257485626904,60
AMZN,20200113,vwap_following,8.256606233752656,2.3301403362570636,3.0144904698983637,3.437833272450679,2.2319964904393204,12
AMZN,20200113,pov_5pct_cap,8.256606233752656,2.3301403362570636,3.0144904698983637,3.437833272450679,2.2319964904393204,12
AMZN,20200113,toth,8.256977258814462,2.330511581387309,3.0145754574879806,3.4381837391227226,2.2319964904393204,12
AMZN,20200113,rl_v2,-0.9829407976518278,-6.91488700606334,3.163699509627166,1.7236409151735772,1.9668058178828582,117
AMZN,20200114,twap,-45.98094265324573,-0.26892467754227056,3.8054899447222166,2.6290523099487286,2.4284262649489157,60
AMZN,20200114,ac_ra,-39.09566573037777,6.585022313060981,4.070984799700161,5.442695283871241,2.4284262649489157,60
AMZN,20200114,vwap_following,-44.29943956885815,1.4049270983609983,4.046949064115783,2.702841105167852,1.9880207531993708,12
AMZN,20200114,pov_5pct_cap,-44.29943956885815,1.4049270983609983,4.046949064115783,2.702841105167852,1.9880207531993708,12
AMZN,20200114,toth,-44.30090179687552,1.4034715238893305,4.046803763489738,2.7021811528052235,1.9880207531993708,12
AMZN,20200114,rl_v2,-35.511051379570915,10.15332566780131,3.7742147517970275,5.988343103981022,2.4210142661766327,120
AMZN,20200115,twap,25.99778805282106,3.1858546469410065,3.4519676325143425,1.1285181456169535,2.1071464089380605,60
AMZN,20200115,ac_ra,14.860191613257745,-7.977215028228432,3.381834422133691,0.3656805276779017,2.1071464089380605,60
AMZN,20200115,vwap_following,25.811462150385587,2.9991025911933673,3.8403514999697657,2.4608047660637684,2.40495747458149,12
AMZN,20200115,pov_5pct_cap,25.811462150385587,2.9991025911933673,3.8403514999697657,2.4608047660637684,2.40495747458149,12
AMZN,20200115,toth,25.808082934694138,2.9957156467645762,3.8403823507225296,2.460119644592849,2.40495747458149,12
AMZN,20200115,rl_v2,12.285341186191673,-10.55795449714793,3.4239999755640493,0.37805987844891936,2.1010066123345164,119
AMZN,20200116,twap,24.448804329597596,0.940389156688699,3.733933309278504,1.016020101740164,3.363777319191523,60
AMZN,20200116,ac_ra,8.66223342659539,-14.883384428718202,3.6308694465366353,0.9118924257074529,3.363777319191523,60
AMZN,20200116,vwap_following,26.639557882801054,3.1363054465730706,4.054459486220444,1.408610054160776,3.4893824885665974,12
AMZN,20200116,pov_5pct_cap,26.639557882801054,3.1363054465730706,4.054459486220444,1.408610054160776,3.4893824885665974,12
AMZN,20200116,toth,26.639557882801054,3.1363054465730706,4.054459486220444,1.408610054160776,3.4893824885665974,12
AMZN,20200116,rl_v2,5.899059489356141,-17.653070070307162,3.87679452046606,1.165994394096194,3.3557822934542396,117
AMZN,20200117,twap,24.106027050438996,0.19371894680110882,2.9143762852706323,0.9563500614865464,2.121947957795687,60
AMZN,20200117,ac_ra,14.192567126395494,-9.743503630365971,3.3319868725985944,1.0998363141546392,2.121947957795687,60
AMZN,20200117,vwap_following,26.09149177160482,2.183942844865781,2.8306746368335474,1.651210471843592,1.8605611730840794,12
AMZN,20200117,pov_5pct_cap,26.09149177160482,2.183942844865781,2.8306746368335474,1.651210471843592,1.8605611730840794,12
AMZN,20200117,toth,26.086758611499498,2.1791983393328693,2.8308657373090944,1.651692156081321,1.8605611730840794,12
AMZN,20200117,rl_v2,12.53136651342957,-11.408686156229818,3.502510201202742,0.8913200716545056,2.102178215399387,120
AMD,20200113,twap,-1.3636083427500674,3.158819685262586,2.0543783314647,0.3784344337553834,0.07384879191832852,60
AMD,20200113,ac_ra,-13.237645124830728,-8.70984788129389,2.051941795504582,0.9794357460167443,0.07384879191832852,60
AMD,20200113,vwap_following,-4.185759786294005,0.33794436538411826,2.053799257136317,0.5015398812697567,0.0745237403703537,12
AMD,20200113,pov_5pct_cap,-4.185759786294005,0.33794436538411826,2.053799257136317,0.5015398812697567,0.0745237403703537,12
