ticker,adv_shares,adv_source,eta_prior_bps_per_pct_adv,eta_5day_estimate,eta_consistent_with_prior,eta_per_day,eta_events_per_day,eta_r2_median,out_of_range_days,gamma_prior_bps_per_pct_adv,gamma_estimate_bps_per_pct_adv,gamma_consistent_with_prior,gamma_note,sigma_bps_per_sqrt_sec_median
AAPL,33809763.0,daily_ohlc,8.0,-1.727883428288989,false,"-6.29, 2.43, -1.73, -3.73, 2.43","28367, 37625, 30163, 23327, 27976",0.0012536740508459765,"",3.0,-18.66940790115916,false,"5-day regression slope=-18.67 bps/%ADV vs prior 3.00; ratio=6.22 → ⚠️ disagreement (5 days too few, prior used downstream)",0.4979207346668674
AMZN,2773115.0,daily_ohlc,10.0,0.14337767908533366,false,"0.14, 1.60, 1.66, -1.41, -1.13","8506, 10628, 8727, 8393, 11015",0.000361706483716584,20200113,4.0,9.66062264029794,true,5-day regression slope=9.66 bps/%ADV vs prior 4.00; ratio=2.42 → consistent ✅,0.549062306038449
AMD,42871012.0,daily_ohlc,12.0,-1.1307237364392857,false,"-45.29, 1.11, -1.13, 1.09, -2.86","15048, 17398, 15532, 22111, 21037",0.000051925488564918965,"",5.5,4.6466572737801055,true,5-day regression slope=4.65 bps/%ADV vs prior 5.50; ratio=0.84 → consistent ✅,0.9952945192215392
TSLA,20365299.4,tick_files_5day_avg,15.0,7.307735588711982,true,"-24.75, 7.31, 17.33, 8.77, -25.71","94664, 100296, 62630, 74661, 46094",0.00014921615516094722,"",6.0,139.06036967606295,false,"5-day regression slope=139.06 bps/%ADV vs prior 6.00; ratio=23.18 → ⚠️ disagreement (5 days too few, prior used downstream)",1.6247057216155403
NVDA,7715207.0,daily_ohlc,12.0,-1.2755757930116634,false,"-4.34, -1.86, -1.28, -0.12, -0.27","8242, 29268, 22641, 19836, 18022",0.00003317629532784139,"20200116,20200117",5.0,-19.78599926627709,true,5-day regression slope=-19.79 bps/%ADV vs prior 5.00; ratio=3.96 → consistent ✅,0.829584794996159
