size,size_pct_adv,window,ticker,strategy,parent_qty,is_bps,vwap_slip_bps,eff_spread_bps,markout_60s_bps
0_1pct_adv,0.001,open,AAL,twap,7239,-17.617326234427836,3.6730541132495076,4.002987227980659,3.3565238828014787
0_1pct_adv,0.001,open,AAL,ac_ra,7239,-0.36879835043785764,20.884923807259923,4.865073475278956,2.845081872293593
0_1pct_adv,0.001,open,AAL,vwap_following,7239,-16.360480995113175,4.927228187125147,4.534396460065997,-4.75084550429274
0_1pct_adv,0.001,open,AAL,pov_5pct_cap,7239,-16.360480995113175,4.927228187125147,4.534396460065997,-4.75084550429274
0_1pct_adv,0.001,open,AAL,toth,7239,-16.360480995113175,4.927228187125147,4.534396460065997,-4.75084550429274
0_1pct_adv,0.001,open,AAL,rl_v4,7239,0.25302986162774294,21.505430451659812,5.276010433588431,0.612068585209167
0_1pct_adv,0.001,open,AAPL,twap,34225,-5.317290064762863,-1.345709803206957,0.9537110189020768,0.5835936907173275
0_1pct_adv,0.001,open,AAPL,ac_ra,34225,0.8685140244428683,4.837638849883127,1.3312258422395227,0.0980345129369342
0_1pct_adv,0.001,open,AAPL,vwap_following,34225,-2.9907937624246084,0.9798630035014165,1.3458169891157787,1.6407199072258916
0_1pct_adv,0.001,open,AAPL,pov_5pct_cap,34225,-2.9907937624246084,0.9798630035014165,1.3458169891157787,1.6407199072258916
0_1pct_adv,0.001,open,AAPL,toth,34225,-2.9911171384260213,0.9795397558631237,1.3457430363182517,1.6406181843161625
0_1pct_adv,0.001,open,AAPL,rl_v4,34225,2.048762513961974,6.017418843354699,1.4460495248348837,0.23445387501806148
0_1pct_adv,0.001,open,ADBE,twap,2665,18.28746116787394,20.197863562138004,6.6144579536757115,3.5194769501620105
0_1pct_adv,0.001,open,ADBE,ac_ra,2665,24.34265591364711,26.25189940271379,8.660787660513208,4.37381403564739
0_1pct_adv,0.001,open,ADBE,vwap_following,2665,20.70465106914621,22.614590836846254,6.570541170387947,7.320218268279583
0_1pct_adv,0.001,open,ADBE,pov_5pct_cap,2665,20.70465106914621,22.614590836846254,6.570541170387947,7.320218268279583
0_1pct_adv,0.001,open,ADBE,toth,2665,20.70701970207404,22.61695901644086,6.571404397753243,7.3222147008736345
0_1pct_adv,0.001,open,ADBE,rl_v4,2665,25.804425424558232,27.713389145202143,10.690473554268888,5.763612499049038
0_1pct_adv,0.001,open,ADI,twap,1679,-7.338996862549473,9.61232741556334,6.047259492903451,2.957422636439181
0_1pct_adv,0.001,open,ADI,ac_ra,1679,-6.1184058054081385,10.830850926594062,8.029971591186959,4.0462065555924625
0_1pct_adv,0.001,open,ADI,vwap_following,1679,-6.754867536713801,10.195467290994094,7.136776545747334,2.316770418237417
0_1pct_adv,0.001,open,ADI,pov_5pct_cap,1679,-6.754867536713801,10.195467290994094,7.136776545747334,2.316770418237417
0_1pct_adv,0.001,open,ADI,toth,1679,-6.754867536713801,10.195467290994094,7.136776545747334,2.316770418237417
0_1pct_adv,0.001,open,ADI,rl_v4,1679,-4.716395742628381,12.23048613955382,9.005878145628685,5.61059272771838
0_1pct_adv,0.001,open,ADP,twap,2284,-11.835937016585127,13.616301785709679,5.023697796174047,2.882476383751923
0_1pct_adv,0.001,open,ADP,ac_ra,2284,-6.776010318658315,18.66336506243703,8.625156784975202,5.455089702337785
0_1pct_adv,0.001,open,ADP,vwap_following,2284,-12.274813301679602,13.17854121845988,7.373032048627939,8.071928031354355
0_1pct_adv,0.001,open,ADP,pov_5pct_cap,2284,-12.274813301679602,13.17854121845988,7.373032048627939,8.071928031354355
0_1pct_adv,0.001,open,ADP,toth,2284,-12.274813301679602,13.17854121845988,7.373032048627939,8.071928031354355
0_1pct_adv,0.001,open,ADP,rl_v4,2284,-4.5447024064416635,20.889000510364365,11.850041476829633,6.91850237354201
0_1pct_adv,0.001,open,ADSK,twap,1715,-38.76083135693975,0.12918028419283317,7.631725285460974,4.6205329841264255
0_1pct_adv,0.001,open,ADSK,ac_ra,1715,-18.268886802346557,20.54173934732295,10.089211796980722,4.208355800113588
0_1pct_adv,0.001,open,ADSK,vwap_following,1715,-24.76501859510851,14.070773473471395,8.87844689449782,9.506795123460837
0_1pct_adv,0.001,open,ADSK,pov_5pct_cap,1715,-24.76501859510851,14.070773473471395,8.87844689449782,9.506795123460837
0_1pct_adv,0.001,open,ADSK,toth,1715,-24.81280665112216,14.02317054768307,8.873861025418616,9.50734345844421
0_1pct_adv,0.001,open,ADSK,rl_v4,1715,-8.885686784749511,29.88858898621831,15.283474650147236,10.331130519044052
0_1pct_adv,0.001,open,ALGN,twap,1091,41.631118607115134,32.13934124807524,20.082881437947385,8.317547358799581
0_1pct_adv,0.001,open,ALGN,ac_ra,1091,5.396629460179254,-4.129684649587345,24.28735352803556,11.109973928308484
0_1pct_adv,0.001,open,ALGN,vwap_following,1091,29.930471761584492,20.427541980281752,20.254484962991203,8.971652898775876
0_1pct_adv,0.001,open,ALGN,pov_5pct_cap,1091,29.930471761584492,20.427541980281752,20.254484962991203,8.971652898775876
0_1pct_adv,0.001,open,ALGN,toth,1091,30.089786597297316,20.58700866625927,20.23483807454986,8.940764028786962
0_1pct_adv,0.001,open,ALGN,rl_v4,1091,-2.3192192969241603,-11.852887735437838,23.737971427625293,9.338079829497994
0_1pct_adv,0.001,open,ALXN,twap,2256,1.6524169267820885,15.797180368183822,11.44241666362956,5.0659736331660445
0_1pct_adv,0.001,open,ALXN,ac_ra,2256,-5.2462666686783335,8.9082564101739,16.92372675057925,6.6722355220430325
0_1pct_adv,0.001,open,ALXN,vwap_following,2256,4.556712456837479,18.697367161981024,16.31620511166366,7.05849716422579
0_1pct_adv,0.001,open,ALXN,pov_5pct_cap,2256,4.556712456837479,18.697367161981024,16.31620511166366,7.05849716422579
0_1pct_adv,0.001,open,ALXN,toth,2256,4.545324602541735,18.68599541819792,16.30324090095066,7.049648547204116
0_1pct_adv,0.001,open,ALXN,rl_v4,2256,-5.809769114001144,8.345551157459319,19.510293265730127,9.437193648644405
0_1pct_adv,0.001,open,AMAT,twap,6672,101.43652278930817,64.89118792445734,2.990781516518588,-0.08207646388563569
0_1pct_adv,0.001,open,AMAT,ac_ra,6672,90.68664013181649,54.10161687557632,4.225617463186466,-3.9449140459816983
0_1pct_adv,0.001,open,AMAT,vwap_following,6672,93.81797107083253,57.244508637332174,3.4138521932715586,5.018513286551159
