ticker,strategy,is_bps,fold,test_date
CPRT,rl_v3,19.80462433699314,2,20200115
CTAS,twap,-20.020321701675396,2,20200115
CTAS,ac_ra,-6.5363804166272,2,20200115
CTAS,vwap_following,-19.6891975037348,2,20200115
CTAS,rl_v3,-4.736749582493098,2,20200115
CTXS,twap,-0.08984493110231427,2,20200115
CTXS,ac_ra,8.497689084703635,2,20200115
CTXS,vwap_following,-1.2495356572061334,2,20200115
CTXS,rl_v3,8.987862295364003,2,20200115
FOXA,twap,32.010129281617054,2,20200115
FOXA,ac_ra,21.427162468342804,2,20200115
FOXA,vwap_following,32.102092496335736,2,20200115
FOXA,rl_v3,17.628415300542837,2,20200115
GILD,twap,5.290138234614534,2,20200115
GILD,ac_ra,4.75666074600022,2,20200115
GILD,vwap_following,4.064406517881717,2,20200115
GILD,rl_v3,3.6012047262349722,2,20200115
INTU,twap,5.129167803550948,2,20200115
INTU,ac_ra,11.845457025925135,2,20200115
INTU,vwap_following,8.855079581625878,2,20200115
INTU,rl_v3,9.46222828557962,2,20200115
LRCX,twap,4.656822623487049,2,20200115
LRCX,ac_ra,-1.1381896537319596,2,20200115
LRCX,vwap_following,2.9253511951505167,2,20200115
LRCX,rl_v3,-3.5147911203147886,2,20200115
PYPL,twap,7.100468099860521,2,20200115
PYPL,ac_ra,11.491678224689705,2,20200115
PYPL,vwap_following,7.712552011098015,2,20200115
PYPL,rl_v3,9.222347434118669,2,20200115
QQQ,twap,-1.0274539981462585,2,20200115
QQQ,ac_ra,1.1829436661179256,2,20200115
QQQ,vwap_following,-1.340198718965531,2,20200115
QQQ,rl_v3,1.30747119932514,2,20200115
REGN,twap,73.88622026297763,2,20200115
REGN,ac_ra,58.396341617893526,2,20200115
REGN,vwap_following,75.7388462415443,2,20200115
REGN,rl_v3,67.62078488004144,2,20200115
SGEN,twap,10.965472673555134,2,20200115
SGEN,ac_ra,3.889032496302943,2,20200115
SGEN,vwap_following,7.944608567208203,2,20200115
SGEN,rl_v3,2.7105797636705766,2,20200115
TCOM,twap,-4.709260966938023,2,20200115
TCOM,ac_ra,-5.044394677907844,2,20200115
TCOM,vwap_following,-2.205769990778917,2,20200115
TCOM,rl_v3,-9.095507838232042,2,20200115
TSLA,twap,-63.686287082964384,2,20200115
TSLA,ac_ra,-66.85238481414368,2,20200115
TSLA,vwap_following,-65.61569507572021,2,20200115
TSLA,rl_v3,-70.37651585160985,2,20200115
TXN,twap,5.42121247069072,2,20200115
TXN,ac_ra,2.2793987621560667,2,20200115
TXN,vwap_following,4.826356052742116,2,20200115
TXN,rl_v3,1.124899088913363,2,20200115
UAL,twap,-11.095662035724516,2,20200115
UAL,ac_ra,7.616898213780594,2,20200115
UAL,vwap_following,-5.829203288917714,2,20200115
UAL,rl_v3,5.442812588598263,2,20200115
AAPL,twap,2.880344597393414,3,20200116
AAPL,ac_ra,-10.41094192072059,3,20200116
AAPL,vwap_following,0.009981880026799572,3,20200116
AAPL,rl_v3,-11.036653209147433,3,20200116
ADP,twap,-1.9141153768581756,3,20200116
ADP,ac_ra,2.350796348030922,3,20200116
ADP,vwap_following,-1.3793957547301408,3,20200116
ADP,rl_v3,3.7235102675609624,3,20200116
BIDU,twap,31.92519922082534,3,20200116
BIDU,ac_ra,4.054471400740425,3,20200116
BIDU,vwap_following,21.002372941385254,3,20200116
BIDU,rl_v3,-3.047706746937055,3,20200116
BMRN,twap,0.4192605910746719,3,20200116
BMRN,ac_ra,2.2314866838969842,3,20200116
BMRN,vwap_following,-0.8875154511723884,3,20200116
BMRN,rl_v3,1.5765816383837388,3,20200116
CHKP,twap,5.751203290453805,3,20200116
CHKP,ac_ra,-7.683556489009904,3,20200116
CHKP,vwap_following,2.763279950993363,3,20200116
CHKP,rl_v3,-9.374639012876607,3,20200116
CPRT,twap,14.433025820749565,3,20200116
CPRT,ac_ra,11.228366747412693,3,20200116
CPRT,vwap_following,14.4855950110786,3,20200116
CPRT,rl_v3,8.86100087615627,3,20200116
CTAS,twap,36.058675431848286,3,20200116
CTAS,ac_ra,22.193230295818847,3,20200116
CTAS,vwap_following,34.758584516400425,3,20200116
CTAS,rl_v3,17.680991677740593,3,20200116
CTXS,twap,1.5592973436198216,3,20200116
CTXS,ac_ra,-7.273950299915085,3,20200116
CTXS,vwap_following,4.170951156812588,3,20200116
CTXS,rl_v3,-10.948071979445329,3,20200116
FOXA,twap,-26.836041749241325,3,20200116
FOXA,ac_ra,-11.775135420794445,3,20200116
FOXA,vwap_following,-29.51407055093009,3,20200116
FOXA,rl_v3,-10.847932355661934,3,20200116
GILD,twap,14.091023226616235,3,20200116
GILD,ac_ra,8.666509730068743,3,20200116
GILD,vwap_following,12.411016949153208,3,20200116
GILD,rl_v3,9.478028876330972,3,20200116
INTU,twap,6.21194892008493,3,20200116
INTU,ac_ra,2.8895751212517915,3,20200116
INTU,vwap_following,5.6812410310424335,3,20200116
INTU,rl_v3,2.4424624439257867,3,20200116
LRCX,twap,23.739484130228977,3,20200116
LRCX,ac_ra,5.028145776498506,3,20200116
LRCX,vwap_following,19.991374944867477,3,20200116
LRCX,rl_v3,1.6081807341036158,3,20200116
PYPL,twap,19.460981844966046,3,20200116
PYPL,ac_ra,10.637809263833974,3,20200116
PYPL,vwap_following,17.912474543958538,3,20200116
PYPL,rl_v3,10.143507084363947,3,20200116
QQQ,twap,3.866780991918836,3,20200116
QQQ,ac_ra,-1.7986371226119275,3,20200116
QQQ,vwap_following,3.0256329256751555,3,20200116
QQQ,rl_v3,-2.733516855456675,3,20200116
REGN,twap,57.08618137349157,3,20200116
REGN,ac_ra,36.07726073244437,3,20200116
REGN,vwap_following,50.794542060886634,3,20200116
REGN,rl_v3,29.240908798350493,3,20200116
SGEN,twap,19.263285474548386,3,20200116
SGEN,ac_ra,19.799272795076096,3,20200116
SGEN,vwap_following,16.9715644228984,3,20200116
SGEN,rl_v3,19.96531791908523,3,20200116
