window,ticker,strategy,is_bps,vwap_slip_bps,eff_spread_bps,markout_60s_bps
open,AAL,twap,-17.650990099008876,3.6394617942723326,4.002415948758235,3.3587114618413727
open,AAL,ac_ra,-0.37022630834128,20.88349888418663,4.86204296130812,2.8300484227787615
open,AAL,vwap_following,-16.350777934936684,4.93691062544766,4.533968797434235,-4.749924538895361
open,AAL,pov_5pct_cap,-16.350777934936684,4.93691062544766,4.533968797434235,-4.749924538895361
open,AAL,toth,-16.350777934936684,4.93691062544766,4.533968797434235,-4.749924538895361
open,AAL,rl_v4,0.26626591229405416,21.51863837182924,5.276605483870014,0.6224282378831062
open,AAPL,twap,-5.325512269162164,-1.3539287438272347,0.9538970378779789,0.5849026740198154
open,AAPL,ac_ra,0.8707310903092885,4.839855035691995,1.33139363502882,0.09892072472589651
open,AAPL,vwap_following,-2.991209208195431,0.9794477226405288,1.3457553619173057,1.6408637693630361
open,AAPL,pov_5pct_cap,-2.991209208195431,0.9794477226405288,1.3457553619173057,1.6408637693630361
open,AAPL,toth,-2.991209208195431,0.9794477226405288,1.3457553619173057,1.6408637693630361
open,AAPL,rl_v4,2.046705034151591,6.015362180254668,1.4459122408760225,0.23614357699130464
open,ADBE,twap,18.220819465166045,20.131234614001823,6.599556981241352,3.5105418582961847
open,ADBE,ac_ra,24.351974061745956,26.26121576741,8.664087550901373,4.372877821110625
open,ADBE,vwap_following,20.70839550097341,22.61833455202574,6.572774996441732,7.323870562795792
open,ADBE,pov_5pct_cap,20.70839550097341,22.61833455202574,6.572774996441732,7.323870562795792
open,ADBE,toth,20.7090267416483,22.618965671887324,6.573005046534585,7.324402612082106
open,ADBE,rl_v4,25.80701251004588,27.71597573554687,10.693182652400818,5.7703331232088395
open,ADI,twap,-7.351380753138545,9.599964501913819,6.048697653709724,2.9589214539058313
open,ADI,ac_ra,-6.108619246870111,10.840620907785464,8.045830043648523,4.066579494098986
open,ADI,vwap_following,-6.7474476987454794,10.202874560578401,7.13816119461444,2.31640425388562
open,ADI,pov_5pct_cap,-6.742343096233636,10.207970516458754,7.139251282280898,2.317242054837153
open,ADI,toth,-6.747615062761793,10.2027074800582,7.13757533303192,2.3154829177176115
